bins	ServerClient10RQS	ServerClient20RQS	ServerClient50RQS	ServerClient100RQS	ServerClient200RQS
1.000000	0.365000	0.000000	0.002188	0.000040	0.002082
3.000000	0.526000	0.006000	0.027500	0.005012	0.024059
5.000000	0.086000	0.005000	0.060000	0.012581	0.036509
7.000000	0.013000	0.003000	0.051875	0.021176	0.042034
9.000000	0.006000	0.006000	0.035937	0.026952	0.045516
11.000000	0.000000	0.006000	0.014063	0.032790	0.047398
13.000000	0.001000	0.003000	0.007188	0.037178	0.049720
15.000000	0.000000	0.004000	0.006875	0.042311	0.047958
17.000000	0.001000	0.005000	0.004687	0.045109	0.052122
19.000000	0.000000	0.006000	0.007188	0.048591	0.051761
21.000000	0.000000	0.007000	0.008125	0.050845	0.054043
23.000000	0.000000	0.003000	0.007500	0.053583	0.050520
25.000000	0.000000	0.010000	0.006875	0.055072	0.050841
27.000000	0.000000	0.003000	0.004063	0.053382	0.048839
29.000000	0.000000	0.006000	0.005938	0.053039	0.043875
31.000000	0.001000	0.004000	0.010937	0.051731	0.041033
33.000000	0.000000	0.006000	0.013750	0.049034	0.037470
35.000000	0.000000	0.002000	0.038750	0.049074	0.032666
37.000000	0.000000	0.004000	0.059062	0.045068	0.030665
39.000000	0.000000	0.009000	0.057813	0.041667	0.030224
41.000000	0.001000	0.027000	0.023125	0.035366	0.027982
43.000000	0.000000	0.311000	0.031563	0.033112	0.026741
45.000000	0.000000	0.445000	0.123438	0.027375	0.029824
47.000000	0.000000	0.116000	0.314688	0.023410	0.040552
49.000000	0.000000	0.000000	0.050000	0.018116	0.021537
51.000000	0.000000	0.001000	0.012812	0.016506	0.012890
53.000000	0.000000	0.001000	0.008438	0.014553	0.010448
55.000000	0.000000	0.000000	0.005000	0.012661	0.006005
57.000000	0.000000	0.001000	0.000625	0.009320	0.002682
59.000000	0.000000	0.000000	0.000000	0.006421	0.000801
61.000000	0.000000	0.000000	0.000000	0.005113	0.000480
63.000000	0.000000	0.000000	0.000000	0.004026	0.000320
65.000000	0.000000	0.000000	0.000000	0.002496	0.000160
67.000000	0.000000	0.000000	0.000000	0.001973	0.000120
69.000000	0.000000	0.000000	0.000000	0.001791	0.000120
71.000000	0.000000	0.000000	0.000000	0.001469	0.000000
73.000000	0.000000	0.000000	0.000000	0.001308	0.000000
75.000000	0.000000	0.000000	0.000000	0.001208	0.000000
77.000000	0.000000	0.000000	0.000000	0.001067	0.000000
79.000000	0.000000	0.000000	0.000000	0.000966	0.000000
81.000000	0.000000	0.000000	0.000000	0.000785	0.000000
83.000000	0.000000	0.000000	0.000000	0.000765	0.000000
85.000000	0.000000	0.000000	0.000000	0.000644	0.000000
87.000000	0.000000	0.000000	0.000000	0.000543	0.000000
89.000000	0.000000	0.000000	0.000000	0.000604	0.000000
91.000000	0.000000	0.000000	0.000000	0.000362	0.000000
93.000000	0.000000	0.000000	0.000000	0.000262	0.000000
95.000000	0.000000	0.000000	0.000000	0.000362	0.000000
97.000000	0.000000	0.000000	0.000000	0.000242	0.000000
99.000000	0.000000	0.000000	0.000000	0.000362	0.000000
101.000000	0.000000	0.000000	0.000000	0.000362	0.000000
103.000000	0.000000	0.000000	0.000000	0.000302	0.000000
105.000000	0.000000	0.000000	0.000000	0.000121	0.000000
107.000000	0.000000	0.000000	0.000000	0.000121	0.000000
109.000000	0.000000	0.000000	0.000000	0.000121	0.000000
111.000000	0.000000	0.000000	0.000000	0.000121	0.000000
113.000000	0.000000	0.000000	0.000000	0.000221	0.000000
115.000000	0.000000	0.000000	0.000000	0.000060	0.000000
117.000000	0.000000	0.000000	0.000000	0.000101	0.000000
119.000000	0.000000	0.000000	0.000000	0.000101	0.000000
121.000000	0.000000	0.000000	0.000000	0.000141	0.000000
123.000000	0.000000	0.000000	0.000000	0.000141	0.000000
125.000000	0.000000	0.000000	0.000000	0.000121	0.000000
127.000000	0.000000	0.000000	0.000000	0.000101	0.000000
129.000000	0.000000	0.000000	0.000000	0.000081	0.000000
131.000000	0.000000	0.000000	0.000000	0.000060	0.000000
133.000000	0.000000	0.000000	0.000000	0.000081	0.000000
135.000000	0.000000	0.000000	0.000000	0.000020	0.000000
137.000000	0.000000	0.000000	0.000000	0.000000	0.000000
139.000000	0.000000	0.000000	0.000000	0.000020	0.000000
141.000000	0.000000	0.000000	0.000000	0.000000	0.000000
143.000000	0.000000	0.000000	0.000000	0.000000	0.000000
145.000000	0.000000	0.000000	0.000000	0.000000	0.000000
147.000000	0.000000	0.000000	0.000000	0.000000	0.000000
149.000000	0.000000	0.000000	0.000000	0.000000	0.000000
151.000000	0.000000	0.000000	0.000000	0.000000	0.000000
153.000000	0.000000	0.000000	0.000000	0.000020	0.000000
155.000000	0.000000	0.000000	0.000000	0.000000	0.000000
157.000000	0.000000	0.000000	0.000000	0.000000	0.000000
159.000000	0.000000	0.000000	0.000000	0.000000	0.000000
161.000000	0.000000	0.000000	0.000000	0.000000	0.000000
163.000000	0.000000	0.000000	0.000000	0.000020	0.000000
165.000000	0.000000	0.000000	0.000000	0.000000	0.000000
167.000000	0.000000	0.000000	0.000000	0.000000	0.000000
169.000000	0.000000	0.000000	0.000000	0.000000	0.000000
171.000000	0.000000	0.000000	0.000000	0.000000	0.000000
173.000000	0.000000	0.000000	0.000000	0.000000	0.000000
175.000000	0.000000	0.000000	0.000000	0.000020	0.000000
177.000000	0.000000	0.000000	0.000000	0.000000	0.000000
179.000000	0.000000	0.000000	0.000000	0.000000	0.000000
181.000000	0.000000	0.000000	0.000000	0.000000	0.000000
183.000000	0.000000	0.000000	0.000000	0.000020	0.000000
185.000000	0.000000	0.000000	0.000000	0.000000	0.000000
187.000000	0.000000	0.000000	0.000000	0.000020	0.000000
189.000000	0.000000	0.000000	0.000000	0.000020	0.000000
191.000000	0.000000	0.000000	0.000000	0.000020	0.000000
193.000000	0.000000	0.000000	0.000000	0.000020	0.000000
195.000000	0.000000	0.000000	0.000000	0.000020	0.000000
